learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
100.0,0.0,0.0,100.0,13.415832669427987,87.2335239297325,100.0,34728.0,1.0
200.0,0.0,0.0,200.0,12.964412509760225,62.52441893471825,200.0,61928.0,1.0
300.0,0.0,0.0,300.0,19.381864531879014,54.36742326556636,300.0,89688.0,1.0
400.0,0.0,0.0,400.0,16.767789440998598,47.40143180441703,400.0,7144.0,2.0
500.0,0.0,0.0,500.0,20.866418436478043,47.705289182361156,500.0,36512.0,2.0
600.0,0.015625,2.6358369116981824E-10,600.0,43.06527801571873,77.87359400529468,600.0,65208.0,2.0
700.0,0.015625,2.6358369116981824E-10,700.0,42.815569857529006,74.20967724923446,700.0,93952.0,2.0
800.0,0.015625,2.6358369116981824E-10,800.0,42.6110019790684,73.63456754284087,800.0,64840.0,3.0
900.0,0.015625,2.6358369116981824E-10,900.0,42.02096325838998,70.58001643352382,900.0,36328.0,4.0
1000.0,0.015625,2.6358369116981824E-10,1000.0,40.51400266691066,67.5221601237229,1000.0,63056.0,4.0
1100.0,0.015625,2.6358369116981824E-10,1000.0,41.85036048832902,62.36138243131343,1100.0,91896.0,4.0
1200.0,0.03125,7.492942839033074E-10,1000.0,48.67138106900288,70.18426296216643,1200.0,120160.0,4.0
1300.0,0.03125,7.492942839033074E-10,1000.0,48.70432995947352,70.26480076192384,1300.0,149456.0,4.0
1400.0,0.03125,7.492942839033074E-10,1000.0,54.04827827416098,74.99462236088765,1400.0,177816.0,4.0
1500.0,0.03125,7.492942839033074E-10,1000.0,54.96084391559234,76.92653766951788,1500.0,205024.0,4.0
1600.0,0.03125,7.492942839033074E-10,1000.0,40.19953222867137,58.53456115261694,1600.0,233552.0,4.0
1700.0,0.046875,1.8071215082373883E-9,1000.0,39.683762887347065,57.918963455187985,1700.0,261696.0,4.0
1800.0,0.046875,1.8071215082373883E-9,1000.0,43.87257818727602,63.48656215371982,1800.0,289984.0,4.0
1900.0,0.0625,2.868214829100503E-9,1000.0,45.02135005302908,64.89792583807505,1900.0,262504.0,5.0
2000.0,0.0625,2.868214829100503E-9,1000.0,48.53936226012196,68.55132606672541,2000.0,290792.0,5.0
2100.0,0.0625,2.868214829100503E-9,1000.0,51.43501064004975,71.95305327444908,2100.0,318720.0,5.0
2200.0,0.078125,4.27224828551213E-9,1000.0,44.426116736863435,64.29339803808368,2200.0,347344.0,5.0
2300.0,0.078125,4.27224828551213E-9,1000.0,44.20938009198551,64.33248633617717,2300.0,152488.0,6.0
2400.0,0.078125,4.27224828551213E-9,1000.0,43.54851255120976,64.00111988078845,2400.0,125512.0,7.0
2500.0,0.09375,4.663468442029424E-9,1000.0,47.2379887054966,68.19850291432873,2500.0,96784.0,8.0
2600.0,0.09375,4.663468442029424E-9,1000.0,52.0198523246846,70.92032029288335,2600.0,125240.0,8.0
2700.0,0.09375,4.663468442029424E-9,1000.0,56.34986062496506,75.19968594345745,2700.0,153264.0,8.0
2800.0,0.09375,4.663468442029424E-9,1000.0,48.92281178014333,67.15612597097537,2800.0,180232.0,8.0
2900.0,0.09375,4.663468442029424E-9,1000.0,45.41397626637792,64.90447672845738,2900.0,151816.0,9.0
3000.0,0.109375,5.394880038996538E-9,1000.0,42.28484378288282,61.71465507008524,3000.0,180944.0,9.0
3100.0,0.109375,5.394880038996538E-9,1000.0,49.276904015922156,71.72838636452242,3100.0,209616.0,9.0
3200.0,0.109375,5.394880038996538E-9,1000.0,51.950042394907776,72.70412185709672,3200.0,181368.0,10.0
3300.0,0.125,6.2461347422666025E-9,1000.0,57.11682530919197,77.56185261624987,3300.0,210592.0,10.0
3400.0,0.125,6.2461347422666025E-9,1000.0,53.70883431451914,73.79217711089338,3400.0,237488.0,10.0
3500.0,0.125,6.2461347422666025E-9,1000.0,46.755813335451826,66.27751876115478,3500.0,210560.0,11.0
3600.0,0.125,6.2461347422666025E-9,1000.0,43.260373566725754,63.66332885921505,3600.0,237936.0,11.0
3700.0,0.140625,7.3229441315763535E-9,1000.0,47.86738556831223,73.29399570691012,3700.0,266392.0,11.0
3800.0,0.140625,7.3229441315763535E-9,1000.0,52.705447057696894,76.56903680001071,3800.0,295808.0,11.0
