learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
100.0,0.0,0.0,100.0,16.020173538821986,87.45513082451428,100.0,134960.0,1.0
200.0,0.015625,1.0290144321819147E-9,200.0,18.416465964096513,64.93974917023914,200.0,254568.0,1.0
300.0,0.03125,2.5737487400571506E-9,300.0,57.57927953858318,96.54330459829247,300.0,382152.0,1.0
400.0,0.046875,4.6053901314735415E-9,400.0,53.71550266123235,87.60650776368529,400.0,502608.0,1.0
500.0,0.0625,7.163907866925001E-9,500.0,58.64997124352477,91.75576002767087,500.0,632952.0,1.0
600.0,0.09375,1.3347113660226266E-8,600.0,87.8761568728467,132.7647269326161,600.0,764832.0,1.0
700.0,0.109375,1.694017555564642E-8,700.0,79.77623410318868,123.51818999342338,700.0,888888.0,1.0
800.0,0.125,2.1054584067314865E-8,800.0,72.83205272215046,115.94569037396606,800.0,1017864.0,1.0
900.0,0.140625,2.5673652999103072E-8,900.0,75.3640098700217,114.28387110114281,900.0,1142712.0,1.0
1000.0,0.171875,3.592518623918295E-8,1000.0,81.23814456919912,116.82021938581853,1000.0,1268064.0,1.0
1100.0,0.203125,4.720408469438553E-8,1000.0,81.50959254554837,113.78574577238972,1100.0,1395144.0,1.0
1200.0,0.234375,5.950375149647395E-8,1000.0,85.08083537866652,114.98815530617763,1200.0,1521408.0,1.0
1300.0,0.265625,7.282806715617578E-8,1000.0,74.59911809482963,106.80518335221869,1300.0,1648152.0,1.0
1400.0,0.296875,8.717606154580911E-8,1000.0,83.81956097074966,114.004519819118,1400.0,1774776.0,1.0
1500.0,0.34375,1.102067957011362E-7,1000.0,81.4814219917378,110.81337404917618,1500.0,1899192.0,1.0
1600.0,0.375,1.265829390225311E-7,1000.0,58.47850543106301,76.91119451032425,1600.0,2025648.0,1.0
1700.0,0.421875,1.5268354521443447E-7,1000.0,56.096719007581164,76.27578166545221,1700.0,2152344.0,1.0
1800.0,0.46875,1.8031268458192548E-7,1000.0,59.90835510164826,79.01717574187626,1800.0,2278392.0,1.0
1900.0,0.515625,2.095134307940801E-7,1000.0,54.677744395397575,74.52531115922964,1900.0,2407992.0,1.0
2000.0,0.5625,2.402264120367666E-7,1000.0,42.093055422432975,60.57824194406983,2000.0,2532696.0,1.0
2100.0,0.609375,2.7245366557811697E-7,1000.0,40.65837189221892,60.06035470095307,2100.0,2657568.0,1.0
2200.0,0.671875,3.174718585796654E-7,1000.0,37.182165917998965,57.520136756183824,2200.0,2784264.0,1.0
2300.0,0.734375,3.64511797670275E-7,1000.0,36.48846236479787,56.90817987680864,2300.0,2909304.0,1.0
2400.0,0.796875,4.13612676008294E-7,1000.0,24.04282250957205,37.250023379048436,2400.0,3036768.0,1.0
2500.0,0.875,4.775930816928545E-7,1000.0,19.424338413017086,31.221834733281252,2500.0,3165624.0,1.0
2600.0,0.9375,5.307964359720547E-7,1000.0,19.727262054184358,31.29048934837833,2600.0,3290496.0,1.0
2700.0,1.0,5.860688785711924E-7,1000.0,20.19881084829679,31.43692161341443,2700.0,3418464.0,1.0
2800.0,1.09375,6.720241314421098E-7,1000.0,14.450537069904202,22.16208654660829,2800.0,3544080.0,1.0
2900.0,1.15625,7.31355200211207E-7,1000.0,11.851109847160544,14.547048165820776,2900.0,3669480.0,1.0
3000.0,1.25,8.234042131031552E-7,1000.0,11.997585041733457,14.728149997536015,3000.0,3795336.0,1.0
3100.0,1.34375,9.185225159550706E-7,1000.0,13.017149578913546,15.550300115582502,3100.0,3921888.0,1.0
3200.0,1.4375,1.0166996313879887E-6,1000.0,11.895878569702269,14.108090827836097,3200.0,4048008.0,1.0
3300.0,1.53125,1.1179664094621936E-6,1000.0,9.769432442685158,11.498254765210996,3300.0,4175400.0,1.0
3400.0,1.625,1.1182613282774885E-6,1000.0,8.98014168492699,10.964851391973102,3400.0,12160.0,2.0
3500.0,1.640625,1.1188072191240887E-6,1000.0,8.959350793869994,10.887548429845866,3500.0,135048.0,2.0
3600.0,1.640625,1.1188072191240887E-6,1000.0,8.868428798301014,10.84079117727883,3600.0,262680.0,2.0
3700.0,1.65625,1.1203991339748932E-6,1000.0,9.30139061849453,11.551185196631153,3700.0,393824.0,2.0
3800.0,1.65625,1.1203991339748932E-6,1000.0,9.194066314168252,11.462243187045608,3800.0,525296.0,2.0
3900.0,1.671875,1.1230174439131385E-6,1000.0,7.529322640041581,10.034156873992902,3900.0,647744.0,2.0
4000.0,1.6875,1.1261296458542346E-6,1000.0,6.6436063377198,9.357076848194522,4000.0,769928.0,2.0
4100.0,1.703125,1.1297553363773557E-6,1000.0,6.410481858722556,8.824958236723036,4100.0,896960.0,2.0
4200.0,1.71875,1.1338892767930195E-6,1000.0,6.169676506570084,8.640044689410109,4200.0,1022696.0,2.0
4300.0,1.734375,1.1385344744970399E-6,1000.0,7.836501057435049,10.643509763527035,4300.0,1149176.0,2.0
4400.0,1.765625,1.148861742371486E-6,1000.0,8.254143846403423,10.884247168437719,4400.0,1277432.0,2.0
4500.0,1.796875,1.1601610781831872E-6,1000.0,7.545553572346834,10.541643825656829,4500.0,1397672.0,2.0
4600.0,1.828125,1.1724776898821192E-6,1000.0,7.264327382427542,10.37543936122077,4600.0,1523504.0,2.0
4700.0,1.859375,1.1858342784560387E-6,1000.0,6.3680788686534076,9.237524794087395,4700.0,1652144.0,2.0
4800.0,1.890625,1.2002048444830707E-6,1000.0,7.301694730612843,10.290819471479061,4800.0,1777568.0,2.0
4900.0,1.921875,1.2155909401675063E-6,1000.0,8.971622073216796,11.879327043444812,4900.0,1903184.0,2.0
5000.0,1.96875,1.2401994899846611E-6,1000.0,9.947742168690084,12.541345994604447,5000.0,2029304.0,2.0
5100.0,2.015625,1.2663176554876066E-6,1000.0,9.0298982169174,11.864419598138621,5100.0,2153792.0,2.0
5200.0,2.046875,1.2847518923485443E-6,1000.0,8.405477392084928,11.505925085884767,5200.0,2280224.0,2.0
5300.0,2.09375,1.3139323628921473E-6,1000.0,6.828394668522524,9.747274561956683,5300.0,2406320.0,2.0
5400.0,2.140625,1.344630598194069E-6,1000.0,8.004674173453923,11.071778578239638,5400.0,2531480.0,2.0
5500.0,2.1875,1.3768538742119237E-6,1000.0,9.08787265005887,11.991734714755543,5500.0,2657240.0,2.0
5600.0,2.234375,1.4106039371755386E-6,1000.0,10.426950201370696,13.318212508471435,5600.0,2783144.0,2.0
5700.0,2.3125,1.4693952915776104E-6,1000.0,10.104749763133722,13.042591744467844,5700.0,2908880.0,2.0
5800.0,2.375,1.5184726281505489E-6,1000.0,8.892934099241664,12.171544517991567,5800.0,3035312.0,2.0
5900.0,2.453125,1.5823658840316862E-6,1000.0,7.434198726901845,10.66935876291392,5900.0,3161312.0,2.0
6000.0,2.515625,1.6355162046642764E-6,1000.0,7.9781998276152635,11.30928671571117,6000.0,3287216.0,2.0
6100.0,2.59375,1.704504571130706E-6,1000.0,8.80003218269915,11.964132067953736,6100.0,3413408.0,2.0
6200.0,2.65625,1.7617251594654386E-6,1000.0,10.692516560124686,13.967224305445036,6200.0,3538952.0,2.0
6300.0,2.734375,1.8358353150284122E-6,1000.0,10.927100667431798,14.063657413169134,6300.0,3666824.0,2.0
6400.0,2.8125,1.9124338480954365E-6,1000.0,9.323659443806736,12.846477058089302,6400.0,3789944.0,2.0
6500.0,2.890625,1.9915862422850393E-6,1000.0,8.410328900487135,12.037843463343929,6500.0,3916304.0,2.0
6600.0,2.984375,2.089613958054946E-6,1000.0,7.742928722529851,11.204563142121552,6600.0,4041848.0,2.0
