learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.015625,1.5910093983014424E-11,100.0,75.0,47.69874476987447,46.80851063829787,37.50000000000001,100.0,3936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.015625,1.5910093983014424E-11,200.0,80.0,57.214675366349354,56.98924731182796,49.36708860759495,200.0,4104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.015625,1.5910093983014424E-11,300.0,82.0,62.7277747101049,65.60509554140125,57.14285714285714,300.0,6624.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400.0,0.03125,5.028495151135656E-11,400.0,83.75,66.73149759443137,68.75,62.209302325581405,400.0,8504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.03125,5.028495151135656E-11,500.0,84.6,68.33777426889041,69.56521739130434,63.84976525821596,500.0,9008.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.03125,5.028495151135656E-11,600.0,85.83333333333333,70.95671981776765,71.76079734219267,67.3076923076923,600.0,12288.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
700.0,0.03125,5.028495151135656E-11,700.0,85.85714285714286,70.78414839797638,70.88235294117646,66.77852348993288,700.0,13296.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
800.0,0.046875,1.0538820384277237E-10,800.0,86.5,72.2507708119219,71.875,68.78612716763006,800.0,13632.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
900.0,0.046875,1.0538820384277237E-10,900.0,87.1111111111111,73.43295128356506,73.93258426966291,69.94818652849739,900.0,14136.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1000.0,0.046875,1.0538820384277237E-10,1000.0,87.5,74.32568992006047,74.8995983935743,71.13163972286375,1000.0,17160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1100.0,0.0625,1.8856048377023804E-10,1100.0,89.5,78.46242205447982,79.24901185770752,75.86206896551725,1100.0,20576.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1200.0,0.0625,1.8856048377023804E-10,1200.0,90.4,80.33471946248234,81.17647058823529,77.93103448275863,1200.0,22400.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1300.0,0.0625,1.8856048377023804E-10,1300.0,90.9,81.32413906333376,81.61616161616162,79.08045977011496,1300.0,22904.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
